state,participation
Delaware,"12,027"
Dist. of Columbia,"11,642"
Maryland,"124,479"
New Jersey,"138,332"
New York,"278,524"
Pennsylvania,"127,676"
Illinois,"207,679"
Indiana,"81,952"
Iowa,"21,081"
Kansas,"16,703"
Michigan,"103,427"
Minnesota,"71,136"
Missouri,"42,080"
Nebraska,"13,135"
North Dakota,"2,746"
Ohio,"121,044"
South Dakota,"4,210"
West Virginia,"13,232"
Wisconsin,"74,560"
Connecticut,"64,134"
Maine,"15,327"
Massachusetts,"113,869"
New Hampshire,"12,456"
Rhode Island,"11,933"
Vermont,"6,448"
Alabama,"50,959"
Florida,"377,517"
Georgia,"170,743"
Kentucky,"56,289"
Louisiana,"32,565"
Mississippi,"14,437"
North Carolina,"145,001"
South Carolina,"49,504"
Tennessee,"55,907"
Virginia,"154,578"
Arkansas,"47,415"
New Mexico,"16,915"
Oklahoma,"30,850"
Texas,"542,178"
Alaska,"5,589"
Arizona,"67,035"
California,"743,280"
Colorado,"80,434"
Hawaii,"14,222"
Idaho,"11,297"
Montana,"5,024"
Nevada,"34,669"
Oregon,"31,867"
Utah,"41,274"
Washington,"87,068"
Wyoming,"2,824"
Wyoming,"2,824"
